feature_name,count,mean,std,min,25%,50%,75%,max,missing_count,dtype
f_0,4601.0,0.10455335796565964,0.3053575620234699,0.0,0.0,0.0,0.0,4.54,0,float64
f_1,4601.0,0.21301456205172786,1.2905751909453214,0.0,0.0,0.0,0.0,14.28,0,float64
f_2,4601.0,0.28065637904803303,0.5041428838471842,0.0,0.0,0.0,0.42,5.1,0,float64
f_3,4601.0,0.06542490762877635,1.3951513704928833,0.0,0.0,0.0,0.0,42.81,0,float64
f_4,4601.0,0.312223429689198,0.672512769284666,0.0,0.0,0.0,0.38,10.0,0,float64
f_5,4601.0,0.09590089111062812,0.2738240830098081,0.0,0.0,0.0,0.0,5.88,0,float64
f_6,4601.0,0.11420778091719191,0.391441354750631,0.0,0.0,0.0,0.0,7.27,0,float64
f_7,4601.0,0.10529450119539231,0.4010714524736481,0.0,0.0,0.0,0.0,11.11,0,float64
f_8,4601.0,0.09006737665724841,0.27861586424183615,0.0,0.0,0.0,0.0,5.26,0,float64
f_9,4601.0,0.23941317104977178,0.6447553994517129,0.0,0.0,0.0,0.16,18.18,0,float64
f_10,4601.0,0.05982395131493154,0.20154466405444352,0.0,0.0,0.0,0.0,2.61,0,float64
f_11,4601.0,0.5417018039556618,0.8616984712807692,0.0,0.0,0.1,0.8,9.67,0,float64
f_12,4601.0,0.09392958052597261,0.3010358035849219,0.0,0.0,0.0,0.0,5.55,0,float64
f_13,4601.0,0.05862638556835471,0.33518382975575867,0.0,0.0,0.0,0.0,10.0,0,float64
f_14,4601.0,0.04920452075635731,0.2588434513226127,0.0,0.0,0.0,0.0,4.41,0,float64
f_15,4601.0,0.24884807650510754,0.8257917011289012,0.0,0.0,0.0,0.1,20.0,0,float64
f_16,4601.0,0.14258639426211694,0.44405532898215777,0.0,0.0,0.0,0.0,7.14,0,float64
f_17,4601.0,0.18474462073462292,0.5311224220069769,0.0,0.0,0.0,0.0,9.09,0,float64
f_18,4601.0,1.662099543577483,1.7754806647661605,0.0,0.0,1.31,2.64,18.75,0,float64
f_19,4601.0,0.0855770484677244,0.5097668889532868,0.0,0.0,0.0,0.0,18.18,0,float64
f_20,4601.0,0.809760921538796,1.200809811626566,0.0,0.0,0.22,1.27,11.11,0,float64
f_21,4601.0,0.12120191262768963,1.0257555914314398,0.0,0.0,0.0,0.0,17.1,0,float64
f_22,4601.0,0.1016452945011954,0.3502864185580466,0.0,0.0,0.0,0.0,5.45,0,float64
f_23,4601.0,0.09426863725277114,0.4426355267683206,0.0,0.0,0.0,0.0,12.5,0,float64
f_24,4601.0,0.5495044555531406,1.6713493422823174,0.0,0.0,0.0,0.0,20.83,0,float64
f_25,4601.0,0.2653836122582047,0.8869553378202902,0.0,0.0,0.0,0.0,16.66,0,float64
f_26,4601.0,0.767304933710063,3.3672918024526455,0.0,0.0,0.0,0.0,33.33,0,float64
f_27,4601.0,0.12484459900021737,0.5385760440208099,0.0,0.0,0.0,0.0,9.09,0,float64
f_28,4601.0,0.09891545316235603,0.5933265997216329,0.0,0.0,0.0,0.0,14.28,0,float64
f_29,4601.0,0.10285155400999783,0.45668155292838847,0.0,0.0,0.0,0.0,5.88,0,float64
f_30,4601.0,0.06475331449684851,0.4033925009035336,0.0,0.0,0.0,0.0,12.5,0,float64
f_31,4601.0,0.047048467724407746,0.32855888168991193,0.0,0.0,0.0,0.0,4.76,0,float64
f_32,4601.0,0.097228863290589,0.5559072037057504,0.0,0.0,0.0,0.0,18.18,0,float64
f_33,4601.0,0.04783525320582482,0.3294453306636349,0.0,0.0,0.0,0.0,4.76,0,float64
f_34,4601.0,0.10541186698543796,0.5322598753371577,0.0,0.0,0.0,0.0,20.0,0,float64
f_35,4601.0,0.0974766355140187,0.4026231390730364,0.0,0.0,0.0,0.0,7.69,0,float64
f_36,4601.0,0.1369528363399261,0.4234513674569874,0.0,0.0,0.0,0.0,6.89,0,float64
f_37,4601.0,0.013201477939578352,0.22065078755805323,0.0,0.0,0.0,0.0,8.33,0,float64
f_38,4601.0,0.07862855900891111,0.4346720518434224,0.0,0.0,0.0,0.0,11.11,0,float64
f_39,4601.0,0.06483373179743533,0.34991598302301363,0.0,0.0,0.0,0.0,4.76,0,float64
f_40,4601.0,0.043666594218648117,0.36120470065177945,0.0,0.0,0.0,0.0,7.14,0,float64
f_41,4601.0,0.13233862203868726,0.7668194385884751,0.0,0.0,0.0,0.0,14.28,0,float64
f_42,4601.0,0.0460986742012606,0.22381177612192477,0.0,0.0,0.0,0.0,3.57,0,float64
f_43,4601.0,0.0791958269941317,0.6219755735032978,0.0,0.0,0.0,0.0,20.0,0,float64
f_44,4601.0,0.30122364703325366,1.0116872272796056,0.0,0.0,0.0,0.11,21.42,0,float64
f_45,4601.0,0.17982395131493156,0.9111190631640809,0.0,0.0,0.0,0.0,22.05,0,float64
f_46,4601.0,0.005444468593783961,0.07627427063725171,0.0,0.0,0.0,0.0,2.17,0,float64
f_47,4601.0,0.03186915887850467,0.28573464629664813,0.0,0.0,0.0,0.0,10.0,0,float64
f_48,4601.0,0.038574657683112364,0.24347132792763246,0.0,0.0,0.0,0.0,4.385,0,float64
f_49,4601.0,0.13903042816778963,0.2703553739143354,0.0,0.0,0.065,0.188,9.752,0,float64
f_50,4601.0,0.01697587480982395,0.10939416398282335,0.0,0.0,0.0,0.0,4.081,0,float64
f_51,4601.0,0.26907085416213866,0.8156716310876608,0.0,0.0,0.0,0.315,32.478,0,float64
